gene_sz_lastname;gene_sz_firstname;country;gene_i_birthdate;gene_i_size;gene_i_weight;charac_i_plain;charac_i_mountain;charac_i_downhilling;charac_i_cobble;charac_i_timetrial;charac_i_prologue;charac_i_sprint;charac_i_acceleration;charac_i_endurance;charac_i_resistance;charac_i_recuperation;charac_i_hill;charac_i_baroudeur
Nie;Sicheng;China;19960106;0;0;60;60;60;60;60;60;60;60;60;60;60;60;61
Wang;Lizhen;China;19990309;0;0;65;60;62;60;60;61;61;62;64;63;62;61;64
Wang;Ya Dong;China;19941101;0;0;66;61;64;60;60;61;62;64;65;64;62;65;66
Zotov;Evgeny;Russia;19940820;0;0;65;60;62;60;60;65;66;67;63;63;60;60;60
Guernalec;Thibault;France;19970731;185;71;71;71;67;62;76;76;65;66;66;73;72;74;65
Riou;Alan;France;19970402;176;68;71;60;65;66;67;67;70;71;67;69;62;69;75
Lonardi;Giovanni;Italy;19961109;180;70;71;65;65;60;60;68;74;75;68;68;67;67;60
Natarov;Yuriy;Kazakhstan;19961228;186;68;68;72;65;60;70;70;60;65;67;69;68;69;62
Dainese;Alberto;Italy;19980325;176;70;73;64;70;62;66;72;78;80;71;75;71;71;66
Wærenskjold;Søren;Norway;20000312;191;0;74;61;66;68;72;74;73;71;71;74;66;68;66
Wernimont;Nicolas;Belgium;20000405;192;80;63;60;60;62;62;60;60;60;60;60;60;60;61
Venner;Quentin;Belgium;19980615;180;66;63;62;63;60;60;60;60;64;62;63;64;62;62
Klevjer;Kristian;Norway;19990117;0;0;64;60;62;61;60;60;62;63;62;62;61;61;60
Acosta;Ruben Dario;Colombia;19960820;0;0;61;68;67;60;60;60;60;65;64;65;65;65;63
Echtermann;Leon;Germany;19970619;0;0;67;60;65;64;66;67;68;68;65;66;63;66;66
Martín;Álexis;France;19931127;0;0;62;60;60;60;60;60;62;63;60;61;60;60;60
Bickmore;Cade;United States;19980328;0;0;65;60;63;60;60;64;65;68;64;63;60;64;66
Debretsion;Aron;Eritrea;19920219;0;0;66;62;65;60;67;60;60;63;65;64;64;66;62
Teweldemedhn;Abel;Eritrea;19960612;0;0;65;60;62;60;60;63;66;66;63;62;63;66;63
Boussaer;Bryan;Belgium;19961119;0;0;66;60;64;61;62;62;62;63;65;63;60;63;66
Cant;Jelle;Belgium;19920619;0;0;66;60;65;61;60;60;67;68;65;64;61;63;61
De Groote;Arne;Belgium;19970402;0;0;67;60;66;61;60;60;66;66;65;64;60;64;62
Goeman;Jonas;Belgium;19930215;0;0;62;60;61;61;60;60;62;63;62;61;63;60;62
Stockman;Michiel;Belgium;19960731;0;0;70;63;66;63;60;61;67;65;67;67;64;69;70
Stockman;Abram;Belgium;19960731;0;0;68;64;68;61;60;60;65;68;66;68;65;68;67
Duarte;Alvaro;Colombia;19910112;0;0;61;72;67;60;60;60;60;65;65;65;65;68;69
Puppio;Antonio;Italy;19990428;186;75;70;68;67;65;67;65;70;73;69;71;68;71;68
Oldani;Stefano;Italy;19980110;178;62;74;72;69;65;66;69;73;77;73;75;70;75;73
Koyama;Tomoya;Japan;19980718;173;68;62;60;60;60;60;61;60;60;61;61;61;60;61
Hindsgaul Madsen;Jacob;Denmark;20000814;187;67;70;70;68;65;68;70;69;70;68;72;69;71;70
Bergström Frisk;Erik;Sweden;19990928;190;67;66;70;74;60;62;62;60;63;66;69;69;68;65
Bergström Frisk;Hannes;Sweden;19950607;184;70;65;69;65;60;61;61;60;64;69;66;71;68;63
Eefting;Roy;Netherlands;19890904;0;0;69;60;60;60;60;66;72;73;63;68;64;60;61
Hetherington;Ben;United Kingdom;19950809;0;0;66;64;64;60;60;60;63;66;65;68;66;65;67
Josefsson;Patrik;Sweden;19801102;0;0;60;60;60;60;60;60;60;60;63;62;63;63;62
Kanerva;Joni;Finland;19950219;0;0;64;60;63;60;63;61;60;63;62;60;62;64;63
Kanerva;Hiski;Finland;19940903;0;0;66;60;60;60;61;63;64;65;64;62;63;65;60
Moncorge;Pierre;France;19920307;0;0;63;64;68;60;60;64;63;65;65;65;60;65;68
Orr;Robert;United Kingdom;19801001;0;0;63;61;62;60;60;60;61;62;63;62;64;62;64
Sizko;Antti;Finland;19821106;0;0;62;60;65;60;60;60;60;60;62;61;60;60;60
Tipper;Jacob;United Kingdom;19911202;0;0;66;60;64;62;63;66;68;71;60;61;64;61;60
Volkers;Samuel;Australia;19920713;175;67;65;67;63;60;60;60;62;65;63;63;64;66;69
Cañellas;Xavier;Spain;19970316;175;66;67;62;64;60;62;63;69;67;63;64;62;64;65
González;David;Spain;19960221;179;68;70;62;65;60;60;62;73;72;65;68;65;66;62
Kulbe;Lars;Germany;20000308;0;0;68;60;62;61;64;66;70;70;60;62;63;62;64
Vandepitte;Nathan;France;20000330;192;80;67;60;62;66;60;64;69;68;67;66;60;63;66
Sefa;Ylber;Albania;19910211;190;72;69;62;68;62;61;62;65;67;65;68;66;67;73
Morin;Emmanuel;France;19950313;178;72;72;64;66;63;63;65;72;75;70;71;73;72;63
Guillonnet;Adrien;France;19931121;184;69;66;69;66;60;60;61;64;67;65;67;64;69;65
Kulikovskiy;Alexandr;Russia;19970102;0;0;67;60;62;60;60;60;70;70;62;63;62;61;62
Nekrasov;Denis;Russia;19970219;0;0;68;73;65;63;64;62;61;66;67;73;73;73;65
Rikunov;Petr;Russia;19970224;0;0;68;66;65;60;69;68;67;67;64;68;67;67;64
Kulikov;Vladislav;Russia;19960708;0;0;67;65;60;60;66;68;68;67;63;65;60;67;60
García Rus;Francisco;Spain;19920425;0;0;63;60;61;60;60;60;62;63;62;62;60;61;60
Silva;Afonso;Portugal;20000401;171;56;63;64;62;60;60;60;60;63;61;62;60;62;62
Aaskov;Jeppe;Denmark;19970717;174;60;68;69;66;60;60;60;67;71;67;70;69;71;69
Irvine;Declan;Australia;19990311;178;75;66;60;63;60;60;60;65;64;62;63;64;63;60
Saidov;Ulugbek;Uzbekistan;19961006;170;0;62;62;60;60;60;61;61;63;61;60;61;62;60
Van Den Brande;Julien;Belgium;19950106;0;0;68;60;66;64;60;60;68;68;65;65;61;67;71
Munday;Samuel;Australia;19980304;169;0;64;60;63;60;60;60;62;62;60;61;61;62;64
Rojas;Gabriel Francisco;Costa Rica;20000209;0;0;62;63;63;60;63;62;60;63;61;61;61;63;62
Pessot;Alessandro;Italy;19950701;192;75;65;60;63;60;65;65;64;66;62;63;62;64;64
Torres;Sergio;Spain;19910914;176;64;64;61;63;64;60;60;60;60;63;63;62;64;60
Engelhardt;Felix;Germany;20000819;0;0;66;69;67;61;60;61;63;68;68;67;67;71;68
Sheehan;Riley;United States;20000615;0;0;65;60;60;60;63;66;68;68;61;63;64;62;60
Verbeeck;Sven;Belgium;19980318;169;54;63;60;60;61;60;60;60;62;60;60;60;61;62
Andrade;Pedro;Portugal;20000531;0;0;61;63;61;60;60;60;61;63;62;61;61;62;62
Pinto;Pedro;France;20000401;185;67;63;64;68;60;60;60;60;66;63;64;63;65;62
Suarez;Juan Pablo;Colombia;19850530;180;64;67;68;67;60;67;67;62;67;67;69;67;70;68
Barbosa;João;Portugal;19971221;168;50;63;61;63;60;60;60;61;63;63;62;62;63;61
El Gouzi;Omar;Italy;19990816;181;58;66;70;64;60;62;61;62;66;65;67;68;68;64
Gonçalves;Gaspar;Portugal;19950524;180;64;64;66;64;60;63;63;62;65;62;62;61;64;66
Rex;Laurenz;Belgium;19991215;193;82;74;60;66;74;64;66;72;70;73;72;67;62;68
Pinheiro;Ivo;Portugal;19980809;0;0;63;64;65;60;62;60;60;63;62;62;63;64;60
Neuman;Dominik;Czech Republic;19951023;181;72;70;63;67;60;60;61;70;70;69;71;65;70;64
Stibingr;Matej;Czech Republic;19971201;0;0;64;63;62;60;60;60;60;62;63;62;63;65;63
Mota;Cristian;Spain;19960908;0;0;63;64;63;60;60;60;60;63;60;62;62;64;60
Rivi;Samuele;Italy;19980511;187;72;66;67;65;64;70;67;63;64;65;67;63;68;64
Groot;Mitch;Netherlands;19980209;0;0;63;62;64;61;61;62;62;64;62;63;62;65;64
Koster;Adne;Netherlands;20000824;177;65;66;61;63;65;60;61;65;64;63;63;61;63;66
Reckendorfer;Lukas;Austria;19970502;0;0;62;61;61;60;60;60;60;62;62;62;61;63;60
Pavlic;Marko;Slovenia;19930209;0;0;64;70;67;60;63;60;60;64;64;64;61;66;62
Lewis;Adam;United Kingdom;19950821;0;0;66;62;67;63;60;60;63;67;65;65;61;66;68
Rasch;Jesper;Netherlands;19980322;178;71;66;60;63;61;60;60;69;69;65;64;60;60;63
Joseph;Thomas;Belgium;19961206;0;0;71;60;71;64;60;64;68;69;68;67;67;64;61
Dalla Valle;Nicolas;Italy;19970913;0;73;65;62;64;60;60;67;68;72;63;64;63;71;67
Vermeulen;Moran;Austria;19970614;190;67;62;67;65;60;60;60;60;62;64;66;65;68;69
Sotberg;Andre;Norway;19970326;0;0;64;61;63;60;60;60;62;64;63;63;60;66;64
Giglioli;Matteo;Italy;20001026;0;0;60;61;60;60;60;60;61;60;60;60;60;60;60
Brunel;Alexys;France;19981010;190;70;73;63;66;69;73;72;62;64;65;71;64;70;69
Davy;Clément;France;19980717;184;73;73;62;65;72;71;69;65;64;70;73;66;64;68
Scaroni;Cristian;Italy;19971016;175;63;69;71;68;60;60;60;67;72;70;72;70;75;75
Castro Laverde;Jose Nicolas;Colombia;19880728;0;0;65;61;66;60;60;61;60;63;61;61;64;62;66
Hermans;Quinten;Belgium;19950729;174;61;75;70;78;64;63;66;73;78;75;77;67;79;75
Clouse;Evan;United States;19991106;0;0;62;60;62;60;60;60;60;61;61;62;61;61;60
Thurau;Sven;Germany;19961111;186;73;67;60;63;63;60;62;68;69;65;65;62;64;60
Crispim;André;Portugal;19961012;0;0;63;60;64;60;60;60;60;63;61;61;62;63;60
Ramalho;Andrè;Portugal;19960311;0;0;62;63;60;60;61;60;60;60;60;62;62;60;64
Duarte;Emanuel;Portugal;19970124;0;0;60;64;67;60;60;63;62;62;63;62;63;64;60
Soto;Antonio Jesús;Spain;19940922;175;66;70;70;68;60;66;65;71;74;70;71;68;74;70
Van Poucke;Aaron;Belgium;19980404;177;68;73;68;67;66;63;65;69;73;69;71;63;73;74
Franz;Toni;Germany;19970105;170;60;66;60;63;63;60;66;67;66;63;63;63;60;60
Van Elzakker;Wout;Netherlands;19981114;0;0;62;62;64;62;64;64;60;62;61;63;61;63;65
Mol;Wesley;Netherlands;19990225;0;0;65;60;60;64;60;62;63;67;61;65;60;64;67
Pattyn;Jeroen;Belgium;19960322;0;0;64;63;65;63;60;60;60;62;64;63;60;65;64
Sinschek;Nils;Netherlands;19980624;0;0;68;63;61;62;60;63;61;65;65;66;60;65;69
Naberman;Tim;Netherlands;19990511;185;70;67;60;63;60;60;60;62;63;66;65;64;63;62
Skot-Hansen;Aksel;Denmark;20000611;180;62;63;63;67;60;62;62;61;65;62;63;64;65;61
Eichinger;Daniel;Austria;19951023;0;0;66;64;65;60;62;62;61;64;65;65;62;65;66
Friedl;Nils;Austria;19970322;0;0;61;63;63;60;60;60;60;60;60;60;60;62;60
Graf;Andreas;Austria;19850807;0;0;66;64;68;60;68;68;63;67;65;68;63;66;68
Loderer;Timon;Germany;19910420;0;0;66;64;66;61;61;61;66;70;67;67;66;68;64
Rapp;Jonas;Germany;19940706;0;0;65;74;67;60;66;66;65;71;65;69;70;70;65
Ochoa;Diego;Colombia;19930605;171;61;65;66;66;60;64;66;67;69;66;65;65;70;69
Berrade;Urko;Spain;19971128;184;68;68;72;67;60;69;68;63;69;69;70;68;72;71
Hanssing;Jeppe;Denmark;19981120;0;0;62;60;61;60;63;63;60;60;61;62;60;60;62
Firmino;Leonel;Portugal;19990318;0;0;61;64;66;60;60;60;60;63;62;63;62;64;63
Bleyer;Paul;Austria;20000524;0;0;63;60;61;62;60;60;61;62;62;62;61;60;61
Steininger;Fabian;Austria;20000912;177;64;66;61;62;60;60;61;68;69;63;63;60;64;60
Wollenberg;Tim;Germany;20000217;180;0;68;60;67;60;60;70;69;71;66;68;65;67;69
Gomez;Antonio;Spain;19951215;0;0;68;66;69;60;61;64;65;68;66;69;68;69;68
Pedersen;Rasmus Lund;Denmark;19980709;183;84;67;61;64;60;64;66;60;62;63;70;61;65;67
Byaliauski;Vasili;Belarus;19951221;180;71;64;67;64;60;62;62;62;66;65;65;63;66;68
Vermaerke;Kevin;United States;20001016;179;67;71;71;67;64;67;65;66;71;70;73;67;74;69
Balmer;Alexandre;Switzerland;20000504;192;74;69;72;77;65;68;65;63;68;70;71;65;71;73
Quinn;Sean;United States;20000510;186;67;72;74;66;62;67;70;70;73;70;74;71;75;68
Simmons;Quinn;United States;20010508;185;72;77;73;71;69;68;71;72;75;74;76;73;75;77
Hernández;Brayan;Colombia;19970311;0;0;62;67;64;60;62;61;60;66;64;63;65;66;69
Chia;Luis Carlos;Colombia;19970218;0;0;65;60;63;60;60;65;69;68;63;63;63;63;60
Sáenz;Nicolás;Colombia;19970807;0;0;60;68;67;60;60;60;60;62;61;62;65;64;60
Vollmer;Andrew;United States;20000905;0;0;65;62;64;63;65;66;64;67;63;63;62;65;67
Meucci;Andrea;Italy;19940304;0;0;64;61;62;60;60;60;62;64;61;64;60;64;62
Merlier;Braam;Belgium;19940211;0;0;66;61;70;63;60;61;61;64;62;63;62;66;64
Soete;Daan;Belgium;19941219;182;69;67;66;70;63;61;70;68;71;61;65;65;68;71
Adams;Jens;Belgium;19920605;181;65;66;63;70;65;68;67;64;65;65;66;62;65;63
Boros;Michael;Czech Republic;19920809;0;0;71;60;72;66;63;67;66;68;65;65;63;63;64
Jacobs;Johan;Switzerland;19970301;192;77;75;63;72;74;70;68;68;70;74;76;61;70;74
Lehaen;Dries;Belgium;19950916;0;0;62;60;60;60;60;60;60;60;60;60;60;60;62
Loockx;Lander;Belgium;19970425;186;71;64;63;60;64;62;68;64;66;63;63;60;62;61
Peeters;Yannick;Belgium;19961115;188;68;65;61;73;64;60;61;61;64;63;66;60;65;70
Rombouts;Seppe;Belgium;19980514;182;63;64;60;60;64;60;60;60;60;62;60;60;61;60
Sweeck;Diether;Belgium;19931217;180;71;64;60;68;64;61;60;60;63;60;63;62;61;66
Vandebosch;Toon;Belgium;19990619;178;68;68;64;70;66;60;61;67;68;67;68;61;68;69
Bommel;Henning;Germany;19830223;183;75;66;61;66;60;61;63;65;65;64;65;63;63;63
Debruyne;Glenn;Belgium;19950110;0;0;66;60;65;66;60;60;62;64;65;64;60;64;65
Henkelmann;Milan;Germany;20000418;0;0;64;60;63;60;60;62;61;63;62;63;60;61;65
Vater;Erik;Germany;20000617;0;0;63;61;63;60;60;61;60;63;62;63;61;63;63
Bockelmann;Luca;Germany;20000617;180;67;63;60;62;60;61;62;61;62;62;63;60;61;64
Schmiedel;Sebastian;Germany;19970217;187;80;63;60;63;60;61;63;61;63;63;63;61;62;62
Werner;Franz;Germany;19990426;179;71;62;60;63;60;60;61;63;64;62;63;60;61;60
Brandt;Nicolas;Germany;19981104;0;0;63;62;62;60;63;63;60;63;62;63;61;62;60
Marengo;Umberto;Italy;19920721;179;69;71;68;67;60;64;66;71;70;70;71;66;69;74
Fortunato;Lorenzo;Italy;19960509;170;59;68;77;68;60;63;63;64;70;72;75;76;74;76
Battistella;Samuele;Italy;19981114;180;67;75;74;70;65;68;74;71;74;74;76;70;77;75
Mozzato;Luca;Italy;19980215;178;67;75;61;64;74;61;62;74;75;75;74;61;71;70
Sobrero;Matteo;Italy;19970514;177;63;73;73;66;60;78;76;66;71;69;74;75;74;68
Zhyhunou;Dzmitry;Belarus;19960710;180;72;67;60;64;60;61;62;68;67;65;65;61;64;61
Guglielmi;Simon;France;19970701;180;66;72;70;70;67;65;66;67;72;72;73;69;75;71
Stewart;Jake;United Kingdom;19991002;175;66;75;63;68;72;68;72;73;75;72;74;70;73;71
Lauk;Karl Patrick;Estonia;19970109;173;69;72;62;64;65;63;63;71;71;70;71;66;67;69
Matz;Mathias;Denmark;19980709;0;0;70;60;62;60;69;67;61;63;64;66;60;62;68
Jones;Seth;United States;20000804;0;0;63;63;64;60;60;63;61;65;62;63;63;64;65
Martingil;Cesar;Portugal;19950110;0;0;67;62;66;60;62;67;69;69;64;66;62;67;61
Cecchini;Marco;Italy;19980820;0;0;64;60;64;60;60;60;60;65;65;65;61;69;66
Pugi;Gianni;Italy;19970529;0;0;65;62;64;60;60;62;63;67;64;63;65;64;73
Graziato;Nicola;Italy;20000402;0;0;62;62;62;60;60;60;60;65;63;61;60;65;65
Ciuccarelli;Riccardo;Italy;20000122;165;55;64;68;63;60;60;60;60;63;61;67;63;65;72
Carisey;Clément;France;19920323;186;74;72;65;68;64;67;65;63;68;70;71;67;72;77
Angulo;Antonio;Spain;19920218;0;0;70;66;67;62;60;60;71;74;72;70;66;74;72
Carvalho;André;Portugal;19971031;181;67;71;65;68;68;62;63;70;71;70;69;66;70;66
Leyder;Misch;Luxembourg;19990225;0;0;65;61;64;61;60;61;62;65;63;63;61;63;66
Walkowiak;Kacper;Poland;20000105;191;73;65;60;62;62;61;62;62;63;64;63;61;61;61
Gomez;Nicolas David;Colombia;20000527;170;0;67;60;63;60;60;60;70;72;65;67;63;64;60
Ewart;Jesse;Ireland;19940731;0;0;71;71;73;60;60;63;64;70;67;72;69;70;75
Abdul Halil;Mohamad Izzat Hilmi;Malaysia;19950918;0;0;67;60;66;60;60;61;68;69;65;66;62;62;64
Azman;Muhamad Zawawi;Malaysia;19940803;169;57;66;66;69;60;60;61;65;67;65;65;66;67;73
Cahyadi;Aiman;Indonesia;19931116;0;0;66;60;62;60;65;66;68;68;62;66;63;61;60
Misbah;Muhsin;Malaysia;19970723;173;56;65;64;66;60;60;60;62;65;63;63;63;65;66
Mohd Zariff;Nur Aiman;Malaysia;19971001;0;0;65;65;67;60;60;60;64;68;65;64;64;67;74
Perez;Jair;Colombia;19861108;0;0;62;70;69;60;60;60;60;68;63;65;63;65;74
Saharil;Muhammad Fitri;Malaysia;19980904;0;0;64;60;60;60;60;63;65;66;60;60;60;61;60
Zakaria;Akmal Hakim;Malaysia;19960925;171;59;66;61;63;60;60;62;67;68;64;65;63;62;62
Holowesko;Liam;Bahamas;20000901;0;0;62;60;60;60;62;61;61;60;60;60;60;60;60
Grabis;Mateusz;Poland;19940824;185;75;68;63;72;60;62;63;65;69;67;69;64;69;74
Krawczyk;Szymon;Poland;19980808;189;79;70;63;65;60;68;69;70;69;65;70;66;64;63
Parma;Krzysztof;Poland;19870308;185;70;65;60;65;60;60;61;60;61;63;62;62;63;64
Andersen;Sander;Denmark;19991024;172;65;63;61;63;60;60;61;61;64;62;63;61;64;64
Rugg;Timothy;United States;19851124;0;0;62;63;69;60;62;66;61;68;64;65;65;69;70
Rietzler;Kilian;Germany;20001024;0;0;67;60;66;60;60;62;66;67;65;66;65;61;69
Salzmann;Jodok;Austria;19950327;183;72;65;63;66;60;60;66;65;69;64;66;63;70;70
Baumgarten;Hannes;Germany;19861205;0;0;61;60;60;60;60;60;60;60;60;60;64;63;60
Harrison;Joshua;Australia;19950615;0;0;64;60;61;60;67;61;60;63;64;64;60;60;60
Wawrzyniak;Karol;Poland;20000410;173;65;64;60;62;60;60;61;67;67;63;62;61;61;60
Rivera;Brandon Smith;Colombia;19960321;170;0;69;66;67;64;68;67;61;65;62;68;66;65;66
Castañeda;Jaime Alberto;Colombia;19861020;0;0;68;66;63;60;60;62;64;68;65;65;69;65;67
Tejada;Harold;Colombia;19970427;180;63;68;76;71;60;69;67;61;71;68;71;70;74;70
Jimenez;Luis Fernando;Colombia;19960620;0;0;61;64;64;60;62;60;60;60;60;61;63;65;60
Reyes;Miguel Ángel;Colombia;19920526;0;0;60;71;66;60;65;60;60;64;65;66;67;68;69
Montaña;Freddy;Colombia;19821123;0;0;65;71;69;60;67;63;65;68;63;65;62;68;68
Gil;Angel Alexander;Colombia;19920925;0;0;61;73;70;60;64;60;60;66;64;66;68;67;71
Cano Salas;Jairo;Colombia;19840602;0;0;66;60;61;60;60;65;67;68;63;63;63;63;60
Arango;Edwin;Colombia;19950418;0;0;60;60;60;60;60;60;60;60;60;60;60;60;62
Martinez;Luis Miguel;Colombia;19930630;0;0;64;66;66;60;60;60;60;65;65;65;61;67;62
Van Belle;Bas;Netherlands;20000520;0;0;65;61;65;63;60;61;61;63;63;64;62;64;64
Kluckers;Arthur;Luxembourg;20000315;0;0;70;71;67;64;63;65;65;66;68;70;69;70;69
Lavric;Martin;Slovenia;19981128;0;0;61;69;62;60;60;60;60;64;62;64;65;66;65
Kaspersen;Thomas Rald;Denmark;20000704;0;0;64;61;63;60;66;65;62;62;62;65;61;62;65
Federspiel;Daniel;Austria;19870421;0;0;63;61;73;60;62;66;60;62;62;65;60;64;63
Laverick;Joseph;United Kingdom;20001206;183;67;64;61;63;60;64;65;61;63;62;64;61;64;61
Bellia;Matteo;Italy;19970901;0;0;62;65;63;60;60;66;60;66;62;62;61;63;65
Berzi;Andrea;Italy;20000104;0;0;65;60;60;60;60;60;60;66;60;60;63;61;66
Bramati;Tommaso;Italy;19980315;0;0;61;63;66;60;60;60;60;62;63;60;61;64;65
Colleoni;Kevin;Italy;19991111;0;0;68;73;69;60;70;67;65;70;67;71;69;71;66
Colombo;Raul;Italy;19960819;0;0;64;69;63;60;60;64;64;68;66;64;62;68;61
Conca;Filippo;Italy;19980922;190;71;67;70;69;60;61;64;62;66;66;68;69;69;62
Delco;Lorenzo;Switzerland;19950320;0;0;63;60;60;60;60;60;60;60;60;60;60;60;63
Gozzi;Nicolo;Italy;19980831;0;0;67;60;60;60;60;64;69;68;63;60;60;60;60
Moreni;Gabriele;Italy;19980401;0;0;60;60;66;60;60;60;60;60;60;61;62;62;60
Pedretti;Giovanni;Italy;19960509;0;0;60;60;60;60;60;60;60;62;60;60;60;60;60
Piccot;Michel;Italy;19970127;0;0;60;65;65;60;60;60;60;64;63;63;62;63;64
Taglietti;Stefano;Italy;19990615;0;0;61;60;64;60;60;60;60;60;60;63;63;63;63
Davies;Liam;United Kingdom;19991028;0;0;61;61;62;60;60;60;60;61;61;62;60;62;61
Holt;Joe;United Kingdom;19971013;0;0;64;60;64;61;60;60;67;70;63;65;61;64;62
Mottram;Michael;United Kingdom;19900608;0;0;64;60;62;62;60;60;60;62;63;62;60;61;64
Schescke;Frederik;Germany;19950401;0;0;60;60;60;60;60;60;60;60;60;60;60;60;61
Torrie;Timothy;United Kingdom;19991209;0;0;64;60;63;61;60;60;61;63;62;63;60;61;65
Walters;Red;United Kingdom;19990119;0;0;60;60;60;60;60;60;60;60;60;60;60;60;61
Geßner;Jakob;Germany;20000201;192;72;65;66;67;62;62;63;65;69;68;68;66;69;69
Van Dingenen;Jordi;Belgium;19960618;186;66;66;60;64;65;60;62;64;66;64;64;61;65;69
Pekala;Piotr;Poland;19980804;181;65;66;68;65;60;61;62;66;68;64;67;68;68;65
Jones;Simon;United States;19970824;169;58;62;60;60;60;60;60;60;61;61;61;61;61;61
Li;Hu;China;19980605;0;0;63;60;61;60;60;60;60;61;62;61;60;62;63
Li;Zisen;China;19971026;0;0;66;61;66;60;60;60;69;68;64;65;65;64;62
Wang;Jiancai;China;19941205;0;0;65;64;65;60;60;60;61;63;64;63;65;63;66
Wang;Ming Dong;China;19970515;0;0;65;60;64;60;60;60;61;61;63;62;61;62;63
Yuan;Zhanhui;China;19980405;0;0;60;64;60;60;60;60;60;60;60;60;64;61;61
Zhang;Jinde;China;19931013;0;0;63;61;64;60;60;60;62;62;63;62;63;62;63
Zhang;Zhishan;China;19940703;0;0;64;67;65;60;60;60;62;63;64;64;68;64;69
Clemmensen;Silas Zacharias;Denmark;19961025;0;0;64;62;63;60;64;63;61;63;63;64;62;65;63
Nunez Sanchez;Jose Carlos;Spain;19820423;0;0;60;61;65;60;60;60;60;62;64;64;63;65;60
Paasschens;Mathijs;Netherlands;19960318;188;81;74;65;63;69;60;65;68;67;72;73;62;68;76
Eriksen;Frederik Nybo;Denmark;20000307;0;0;64;60;63;63;60;63;61;64;63;63;60;62;64
Hänninen;Jaakko;Finland;19970416;177;59;66;75;75;62;64;62;62;74;69;72;66;73;73
Thomsen;Frederik;Denmark;20001003;0;0;64;63;64;60;60;62;62;67;63;65;64;67;67
Eyskens;Jeroen;Belgium;19930404;0;0;64;61;63;61;60;61;61;63;63;62;60;64;62
Innocenti;Simone;Italy;19990720;0;0;61;64;63;60;63;60;61;63;63;62;63;65;60
Bachmann;Laurin;Switzerland;19990824;0;0;63;60;61;60;60;60;60;63;60;60;60;62;64
Jenelten;Jeremias;Switzerland;19990511;0;0;60;62;63;60;60;62;60;63;60;60;62;62;60
Güller;Timo;Switzerland;19940606;0;0;65;60;60;60;65;60;60;60;64;65;60;60;60
Zobrist;Manuel;Switzerland;19970308;0;0;64;62;61;60;60;60;64;66;64;65;61;66;65
Papierski;Damian;Poland;20000126;191;81;66;60;62;63;66;67;63;62;64;64;61;60;61
Benz;Pirmin;Germany;20001126;176;68;70;63;66;66;61;63;64;68;69;69;64;70;70
Wolf;Justin;Germany;19921015;197;85;73;66;63;60;75;74;60;64;62;74;62;64;74
Dik;Calvin;Germany;20000225;189;77;65;60;62;60;62;62;62;63;62;64;60;61;61
Peter;Jannis;Germany;20001030;184;63;63;66;63;60;63;64;60;67;62;66;64;66;69
Thiébaud;Valère;Switzerland;19990126;0;0;67;63;64;60;68;67;60;63;63;66;63;65;68
Tapia;Yamil;Argentina;20000628;0;0;60;60;60;60;60;60;60;60;60;60;60;60;61
Kanaka;Marian;Ukraine;20000723;0;0;62;60;60;60;60;60;60;62;60;60;60;63;63
Moncassin;Maxence;France;19970126;0;0;64;60;64;60;60;61;69;69;63;64;61;62;63
Einhorn;Itamar;Israel;19970920;172;73;72;64;63;60;64;68;75;75;63;72;64;67;65
Heiduk;Kim;Germany;20000303;184;70;70;61;64;63;60;66;71;73;69;70;64;67;66
Kuhn;Jan;Germany;20001204;0;0;62;60;61;61;60;60;61;62;61;62;60;61;60
Märkl;Lukas;Germany;20000829;0;0;64;60;63;60;60;60;61;63;62;62;60;62;65
Raßmann;Frederik;Germany;20001204;0;0;62;60;61;60;60;62;62;63;61;62;60;60;60
Ballabio;Giacomo;Italy;19980110;178;70;63;60;62;60;60;61;65;65;63;62;60;63;61
Capron;Remi;France;20000618;0;0;61;63;63;60;60;60;60;61;62;62;61;63;63
Clapasson;Thomas;Switzerland;19990420;0;0;61;60;61;60;60;60;60;61;60;61;60;60;62
Debons;Antoine;Switzerland;19980217;0;0;63;65;63;60;60;60;61;66;64;64;63;67;69
Guex;Quentin;Switzerland;19960923;0;0;63;60;62;60;60;60;60;60;61;62;61;60;62
Quincey;Scott;Switzerland;19990617;0;0;62;60;62;60;60;60;60;61;61;61;61;61;61
Rappo;Anthony;Switzerland;19950725;0;0;61;62;61;60;60;60;60;60;61;61;61;61;60
Schneiter;Joab;Switzerland;19980806;0;0;65;69;67;60;60;60;62;63;63;69;62;67;70
Zoccarato;Samuele;Italy;19980109;183;74;70;70;65;68;63;61;64;68;70;73;66;71;73
Finkšt;Tilen;Slovenia;19970706;176;68;69;62;66;60;62;68;70;72;65;67;62;69;68
Guy;Timothy;Australia;19890516;0;0;68;62;68;60;60;62;64;68;64;67;63;65;71
Peng;Yuan Yang;Taiwan;19930510;171;65;65;60;63;60;61;62;65;67;63;63;61;62;67
Poto?ki;Viktor;Croatia;19990327;176;58;67;65;68;60;61;61;68;71;67;68;62;71;68
Prah;Aljaž;Slovenia;19981220;0;0;64;64;63;60;60;61;61;64;63;61;61;63;65
Rucigaj;Ziga;Slovenia;19951110;0;0;67;65;66;60;61;63;66;69;65;65;63;66;67
Skok;Anže;Slovenia;20000915;180;73;65;62;64;63;66;65;65;68;66;65;62;67;64
